Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,183.669998,183.699997,181.059998,182.350006,182.350006,16684600
2019-11-21,181.770004,184.889999,181.600006,184.860001,184.860001,10254700
2019-11-22,185.800003,186.779999,183.934998,186.779999,186.779999,10541000
2019-11-25,188.320007,190.720001,187.880005,190.449997,190.449997,19157700
2019-11-26,190.389999,195.000000,189.039993,194.699997,194.699997,51832300
2019-11-27,197.240005,200.979996,197.000000,200.820007,200.820007,33040500
2019-11-29,199.809998,200.429993,198.350006,200.000000,200.000000,18593100
2019-12-02,198.580002,198.669998,193.509995,196.309998,196.309998,19357700
2019-12-03,190.970001,195.000000,189.850006,194.899994,194.899994,18355300
2019-12-04,195.529999,196.660004,193.229996,193.740005,193.740005,14849300
2019-12-05,196.929993,200.940002,196.429993,200.000000,200.000000,22290200
2019-12-06,201.110001,202.000000,199.509995,201.889999,201.889999,14087300
2019-12-09,200.320007,203.429993,198.550003,198.740005,198.740005,14258100
2019-12-10,200.710007,202.479996,199.229996,200.449997,200.449997,11623900
2019-12-11,201.100006,204.800003,200.720001,204.639999,204.639999,11760000
2019-12-12,203.710007,206.000000,202.000000,204.500000,204.500000,22448600
2019-12-13,205.759995,207.100006,203.770004,204.910004,204.910004,19270400
2019-12-16,206.330002,209.149994,206.190002,206.970001,206.970001,16734300
2019-12-17,208.690002,208.869995,206.820007,208.179993,208.179993,11287600
2019-12-18,208.529999,210.050003,208.039993,210.000000,210.000000,13481800
2019-12-19,209.610001,211.369995,209.229996,210.130005,210.130005,12167300
2019-12-20,211.350006,213.979996,210.419998,212.250000,212.250000,26670000
2019-12-23,213.250000,215.050003,212.910004,214.830002,214.830002,12535000
2019-12-24,215.009995,215.429993,213.350006,214.259995,214.259995,5523000
2019-12-26,214.649994,216.990005,214.330002,216.380005,216.380005,6907100
2019-12-27,217.990005,218.110001,215.169998,215.470001,215.470001,11674200
2019-12-30,215.779999,215.779999,211.759995,212.910004,212.910004,8732600
2019-12-31,212.000000,213.639999,210.729996,212.100006,212.100006,6773600
2020-01-02,216.600006,219.979996,216.539993,219.770004,219.770004,15873500
2020-01-03,216.350006,218.203003,216.009995,217.000000,217.000000,8604500
2020-01-06,214.889999,217.160004,214.089996,216.639999,216.639999,11885500
2020-01-07,217.639999,218.940002,216.690002,217.630005,217.630005,9388000
2020-01-08,216.600006,220.649994,216.320007,218.000000,218.000000,11959100
2020-01-09,221.500000,223.080002,220.820007,221.779999,221.779999,13122500
2020-01-10,223.899994,225.960007,222.061005,223.830002,223.830002,12296000
2020-01-13,228.809998,231.139999,227.039993,230.479996,230.479996,17544800
2020-01-14,230.050003,230.175003,224.880005,226.490005,226.490005,17266900
2020-01-15,226.649994,227.820007,224.389999,225.059998,225.059998,10743400
2020-01-16,226.300003,226.330002,222.729996,223.940002,223.940002,13700500
2020-01-17,225.899994,228.000000,225.350006,227.429993,227.429993,12956200
2020-01-21,222.449997,222.600006,220.729996,222.259995,222.259995,15831100
2020-01-22,224.690002,225.580002,222.000000,222.369995,222.369995,10059600
2020-01-23,217.929993,220.130005,216.770004,219.130005,219.130005,18519900
2020-01-24,218.490005,219.830002,211.324997,213.750000,213.750000,18143900
2020-01-27,201.220001,208.020004,199.500000,205.470001,205.470001,24574700
